title,link,breadcrumbs,description
Home | MSU Libraries,https://lib.msu.edu/,https://lib.msu.edu,"MSU Libraries has a wealth of resources to help with distance learning, including streaming media, reliable information about COVID-19, and more. The one-east section of the Main Library is now open for study, computer use, and printing Monday - Friday from 9:00 am - 5:00 pm. View or search all of MSU Libraries' Features."
Montana State University Library - MSU Library | Montana ...,https://www.lib.montana.edu/,https://www.lib.montana.edu,"The MSU Library's collections support teaching, learning and research at MSU, with particular emphasis in the fields of agriculture, science, health, and technology. The Library holds special collections in the areas of Montana agriculture and ranching, Yellowstone National Park and its ecosystem, Montana history, and trout and salmonid fish."
Libraries - Missouri State University,https://libraries.missouristate.edu/,https://libraries.missouristate.edu,"Oct 18, 2021 · Discover@MSU. MSU Libraries arranges trial access to electronic resources to get feedback on them as part of the subscription evaluation process. During the trial period, you are encouraged to use these e-resources and provide feedback via Feedback."
Find - MSU Library | Montana State University,https://www.lib.montana.edu/find/,https://www.lib.montana.edu/find,"MSU Library P.O. Box 173320 Centennial Mall Bozeman, MT 59717-3320. Administration (406) 994-3119 Service Desk (406) 994-3139 . Ask the Library. Staff Directory"
Home - Mississippi State University Libraries,http://library.msstate.edu/,library.msstate.edu,"Mississippi State University is an equal opportunity institution. Discrimination in university employment, programs or activities based on race, color, ethnicity, sex, pregnancy, religion, national origin, disability, age, sexual orientation, gender identity, genetic information, status as a U.S. veteran, or any other status protected by applicable law is prohibited."
University Libraries - Waterfield Library,http://lib.murraystate.edu/,lib.murraystate.edu,Curriculum Material Center. Murray State Institutional Repository. Racer Oral Communication Center. Racer Writing Center. Einstein Bagels. Wrather West KY Museum. Pogue Library.
Harry A. Sprague Library - Montclair State University,http://library.montclair.edu/,library.montclair.edu,Ask a Librarian. Chat With Us. Email Us Your Question. Text Us: 973-520-5792 or Phone Us: 973-655-4291. Frequently Asked Questions.
Morehead State University :: Academic Excellence,https://www.moreheadstate.edu/academics/camden-carroll-library,https://www.moreheadstate.edu/academics/camden-carroll-library,"Services. Archives - official MSU Archives, as well as a collection of works by Appalachian authors and Appalachian artifacts. Request It (ILLiad) - request library items from CCL and other libraries for pick up or delivery. ScholarWorks - online repository of the scholarship, creative works and historical record of MSU."
MSU Billings Library - MSU Billings | MSU Billings,https://www.msubillings.edu/library/,https://www.msubillings.edu/library,"MSUB Library (September 8 - December 15, 2021) Monday - Thursday 8:00 am - 9:00 pm Friday 8:00 am - 5:00 pm Saturday Closed Sunday 3:00 pm - 9:00 pm Library hours subject to …"
library.msu.ac.zw - Midlands State University Library,https://library.msu.ac.zw/,https://library.msu.ac.zw,"The MSU Library through its network of libraries and electronic resource centres provides research collections that are responsive to current and future teaching, learning and research needs of the University. As the MSU Library we wish to continue providing access to appropriate information resources that support quality research and teaching."
Library »MSU Texas,https://msutexas.edu/library/,https://msutexas.edu/library,"MSU Texas 3410 Taft Blvd. Wichita Falls, TX 76308 Directions to MSU (940) 397-4000 MSU Texas - Flower Mound 100 Parker Square Rd Flower Mound, TX 75028 Directions to Flower Mound (972) 410-0125 Campus Carry"
"Library Services | Minnesota State University, Mankato",https://library.mnsu.edu/,https://library.mnsu.edu,"Dec 08, 2021 · Memorial Library601 Maywood Ave.Mankato, MN 56002-8419. See Maps & Directions. 507-389-5931 (Checkout Desk) 507-389-6201 (Hours) Contact Us."
MSU - Library Home,https://www.minotstateu.edu/library/,https://www.minotstateu.edu/library,"Dec 17, 2021 · Minot State University 500 University Avenue West - Minot, ND 58707 1-800-777-0750"
MSU Libraries - Mississippi State University,https://www.library.msstate.edu/msu-libraries,https://www.library.msstate.edu/msu-libraries,"MSU Libraries. MIssissippi State University Libraries. 395 Hardy Rd. P.O. Box 5408. Mail Stop 9570. Mississippi State, MS 39762. Call (662) …"
Camden-Carroll Library - Home - LibGuides at Morehead ...,https://research.moreheadstate.edu/home,https://research.moreheadstate.edu/home,"Oct 21, 2021 · Camden-Carroll Library. 7:30am – 11:00pm. View semester library hours (PDF) View Department Library Hours Call the main desk: 606-783-2200."
MSU Library | Virtual tour,https://virtualtour.msu.edu/tour/campus-highlights-tour/msu-library/,https://virtualtour.msu.edu/tour/campus-highlights-tour/msu-library,"MSU Library Explore the amazing collections and technology at the MSU Library. The main library is a vital partner in teaching, learning, research and engagement at Michigan State University. Students, faculty and MSU library staff collaborate and use cutting-edge technology to navigate an increasingly complex information landscape."
MSU Policy Library | Michigan State University,https://policies.msu.edu/,https://policies.msu.edu,"The MSU Policy Library is the official location for policies and regulations approved by the university’s Board of Trustees, the President, and Executive Officers. Read More Michigan State University Policies"
Search MSU | Michigan State University,https://search.msu.edu/index.php?q=library,https://search.msu.edu/index.php?q=library,"Michigan State University Search. Support for technology is provided by the MSU IT Service Desk online, by phone, chat, and email."
Business Library - LibCal - bookings.lib.msu.edu,https://bookings.lib.msu.edu/spaces?lid=1652,https://bookings.lib.msu.edu/spaces?lid=1652,"Accessibility Accommodations: Michigan State University Libraries are committed to ensuring that our online calendars, schedules, and events provide an equal opportunity to all users, including individuals with disabilities. If you need a reasonable accommodation in order to schedule an appointment with a librarian, book a space, or register for a library-related event, …"
"Hours | Minnesota State University, Mankato",https://library.mnsu.edu/about/information/hours/,https://library.mnsu.edu/about/information/hours,"The hours on this page list when chat, in-person, email, text, and phone reference is provided by MSU librarians. Other Library Hours . Other hours including: Equipment Services (ERC Media Counter) Library Administration Office; Library Services. Memorial Library 601 Maywood Ave. Mankato, MN 56002-8419. See Maps & Directions. 507-389-5931 ..."
